country,year,sex,age,cases_no,population,gdp_for_year_usd
Albania,1996,male,25-34 years,14.0,235300,3314898292
Albania,1996,female,15-24 years,16.0,287700,3314898292
Albania,1996,female,75+ years,2.0,41200,3314898292
Albania,1996,female,25-34 years,1.0,267900,3314898292
Albania,1996,male,35-54 years,12.0,379600,3314898292
Albania,1996,female,35-54 years,9.0,362000,3314898292
Albania,1996,male,55-74 years,3.0,179900,3314898292
Albania,1996,female,55-74 years,1.0,183100,3314898292
Albania,1996,male,5-14 years,2.0,380400,3314898292
Albania,1996,female,5-14 years,1.0,354100,3314898292
Albania,1997,male,25-34 years,36.0,236000,2359903108
Albania,1997,male,15-24 years,33.0,244400,2359903108
Albania,1997,male,75+ years,3.0,25400,2359903108
Albania,1997,male,35-54 years,3.0,380800,2359903108
Albania,1997,female,15-24 years,21.0,294000,2359903108
Albania,1997,male,55-74 years,12.0,180300,2359903108
Albania,1997,female,25-34 years,16.0,273900,2359903108
Albania,1997,female,75+ years,2.0,42100,2359903108
Albania,1997,female,35-54 years,7.0,370100,2359903108
Albania,1997,female,5-14 years,6.0,361800,2359903108
Albania,1997,male,5-14 years,4.0,381500,2359903108
Albania,1998,male,75+ years,3.0,25800,2707123772
Albania,1998,male,15-24 years,27.0,248800,2707123772
Albania,1998,female,15-24 years,32.0,295600,2707123772
Albania,1998,male,25-34 years,26.0,240400,2707123772
Albania,1998,male,35-54 years,29.0,388200,2707123772
Albania,1998,male,55-74 years,9.0,183800,2707123772
Albania,1998,female,25-34 years,1.0,275300,2707123772
Albania,1998,female,55-74 years,6.0,188200,2707123772
Albania,1998,female,35-54 years,9.0,372100,2707123772
Albania,1998,male,5-14 years,2.0,388400,2707123772
Albania,1998,female,5-14 years,1.0,363800,2707123772
Albania,1999,male,75+ years,3.0,25900,3414760915
Albania,1999,male,15-24 years,24.0,250600,3414760915
Albania,1999,female,75+ years,4.0,42400,3414760915
Albania,1999,male,35-54 years,31.0,391100,3414760915
Albania,1999,male,25-34 years,19.0,242300,3414760915
Albania,1999,male,55-74 years,14.0,185200,3414760915
Albania,1999,female,15-24 years,19.0,296800,3414760915
Albania,1999,female,25-34 years,13.0,276500,3414760915
Albania,1999,female,55-74 years,6.0,188800,3414760915
Albania,1999,female,35-54 years,5.0,373600,3414760915
Albania,1999,female,5-14 years,1.0,365200,3414760915
Albania,2000,male,25-34 years,17.0,232000,3632043908
Albania,2000,male,55-74 years,1.0,177400,3632043908
Albania,2000,female,75+ years,2.0,37800,3632043908
Albania,2000,male,75+ years,1.0,24900,3632043908
Albania,2000,female,15-24 years,6.0,263900,3632043908
Albania,2000,male,15-24 years,5.0,240000,3632043908
Albania,2000,female,35-54 years,5.0,332200,3632043908
Albania,2000,female,25-34 years,3.0,245800,3632043908
Albania,2000,male,35-54 years,4.0,374700,3632043908
Albania,2000,male,5-14 years,1.0,374900,3632043908
Albania,2001,male,25-34 years,22.0,206484,4060758804
Albania,2001,male,35-54 years,34.0,378826,4060758804
Albania,2001,male,55-74 years,11.0,196670,4060758804
Albania,2001,female,75+ years,2.0,47254,4060758804
Albania,2001,male,15-24 years,1.0,256039,4060758804
Albania,2001,female,15-24 years,9.0,271359,4060758804
Albania,2001,female,35-54 years,12.0,370191,4060758804
Albania,2001,male,75+ years,1.0,31044,4060758804
Albania,2001,female,55-74 years,6.0,189799,4060758804
Albania,2001,male,5-14 years,6.0,321556,4060758804
Albania,2001,female,25-34 years,4.0,222771,4060758804
Albania,2001,female,5-14 years,2.0,307356,4060758804
Albania,2002,male,75+ years,4.0,31007,4435078648
Albania,2002,male,25-34 years,23.0,206286,4435078648
Albania,2002,male,35-54 years,35.0,382139,4435078648
Albania,2002,male,55-74 years,13.0,198130,4435078648
Albania,2002,male,15-24 years,15.0,263067,4435078648
Albania,2002,female,15-24 years,14.0,275970,4435078648
Albania,2002,female,35-54 years,15.0,375113,4435078648
Albania,2002,female,25-34 years,7.0,223685,4435078648
Albania,2002,female,75+ years,1.0,47407,4435078648
Albania,2002,female,55-74 years,4.0,191712,4435078648
Albania,2002,female,5-14 years,1.0,304850,4435078648
Albania,2002,male,5-14 years,1.0,319473,4435078648
Albania,2003,female,75+ years,6.0,49088,5746945913
Albania,2003,male,55-74 years,16.0,201520,5746945913
Albania,2003,male,35-54 years,28.0,386196,5746945913
Albania,2003,male,15-24 years,15.0,273235,5746945913
Albania,2003,female,15-24 years,14.0,283709,5746945913
Albania,2003,female,55-74 years,9.0,195699,5746945913
Albania,2003,male,25-34 years,9.0,205433,5746945913
Albania,2003,female,25-34 years,9.0,222941,5746945913
Albania,2003,female,35-54 years,13.0,381760,5746945913
Albania,2003,male,75+ years,1.0,32667,5746945913
Albania,2003,male,5-14 years,4.0,313204,5746945913
Albania,2004,male,75+ years,4.0,35526,7314865176
Albania,2004,male,35-54 years,39.0,391767,7314865176
Albania,2004,male,25-34 years,16.0,203938,7314865176
Albania,2004,female,15-24 years,2.0,292268,7314865176
Albania,2004,male,15-24 years,19.0,286768,7314865176
Albania,2004,female,75+ years,3.0,50970,7314865176
Albania,2004,female,25-34 years,11.0,222389,7314865176
Albania,2004,male,55-74 years,1.0,207202,7314865176
Albania,2004,female,35-54 years,17.0,391436,7314865176
Albania,2004,female,55-74 years,3.0,203841,7314865176
Albania,2004,female,5-14 years,3.0,286705,7314865176
Albania,2004,male,5-14 years,1.0,302181,7314865176
Albania,2007,male,75+ years,8.0,42366,10701011897
Albania,2007,male,35-54 years,29.0,378626,10701011897
Albania,2007,male,55-74 years,14.0,224160,10701011897
Albania,2007,female,75+ years,3.0,57404,10701011897
Albania,2007,male,25-34 years,9.0,172494,10701011897
Albania,2007,female,15-24 years,13.0,281080,10701011897
Albania,2007,male,15-24 years,13.0,288349,10701011897
Albania,2007,female,25-34 years,8.0,183629,10701011897
Albania,2007,female,55-74 years,9.0,221120,10701011897
Albania,2007,female,35-54 years,14.0,391811,10701011897
Albania,2007,male,5-14 years,4.0,272497,10701011897
Albania,2008,male,25-34 years,21.0,172855,12881352688
Albania,2008,male,35-54 years,37.0,377119,12881352688
Albania,2008,male,55-74 years,21.0,228672,12881352688
Albania,2008,female,75+ years,5.0,59369,12881352688
Albania,2008,female,15-24 years,2.0,276073,12881352688
Albania,2008,female,25-34 years,9.0,182663,12881352688
Albania,2008,female,35-54 years,19.0,393832,12881352688
Albania,2008,male,75+ years,2.0,44574,12881352688
Albania,2008,male,15-24 years,11.0,286702,12881352688
Albania,2008,female,55-74 years,7.0,226448,12881352688
Albania,2008,male,5-14 years,7.0,262464,12881352688
Albania,2008,female,5-14 years,1.0,246288,12881352688
Albania,2010,male,55-74 years,2.0,241852,11926953259
Albania,2010,male,35-54 years,2.0,371611,11926953259
Albania,2010,male,25-34 years,9.0,179720,11926953259
Albania,2010,male,75+ years,2.0,50767,11926953259
Albania,2010,male,15-24 years,1.0,279508,11926953259
Albania,2010,female,25-34 years,6.0,183579,11926953259
Albania,2010,female,75+ years,2.0,64415,11926953259
Albania,2010,female,35-54 years,12.0,394593,11926953259
Albania,2010,female,55-74 years,7.0,241491,11926953259
Albania,2010,female,15-24 years,6.0,263581,11926953259
Albania,2010,female,5-14 years,2.0,223969,11926953259
Antigua and Barbuda,1990,male,35-54 years,1.0,5799,459469074
Antigua and Barbuda,1993,male,25-34 years,1.0,6668,535172778
Antigua and Barbuda,2000,male,55-74 years,1.0,3333,830158778
Antigua and Barbuda,2000,male,35-54 years,1.0,10033,830158778
Antigua and Barbuda,2001,male,35-54 years,2.0,10281,800740259
Antigua and Barbuda,2003,male,55-74 years,1.0,3594,855643111
Antigua and Barbuda,2004,male,55-74 years,1.0,3665,919577148
Antigua and Barbuda,2004,male,35-54 years,1.0,11406,919577148
Antigua and Barbuda,2007,male,35-54 years,1.0,12530,1311401333
Antigua and Barbuda,2015,female,55-74 years,1.0,6403,1364863037
Argentina,1985,male,75+ years,22.0,363000,88416668900
Argentina,1985,male,55-74 years,485.0,1997000,88416668900
Argentina,1985,male,35-54 years,414.0,3346300,88416668900
Argentina,1985,female,55-74 years,21.0,2304000,88416668900
Argentina,1985,male,25-34 years,177.0,2234200,88416668900
Argentina,1985,female,75+ years,41.0,537000,88416668900
Argentina,1985,male,15-24 years,156.0,2415200,88416668900
Argentina,1985,female,35-54 years,142.0,3355300,88416668900
Argentina,1985,female,25-34 years,65.0,2185200,88416668900
Argentina,1985,female,15-24 years,69.0,2354200,88416668900
Argentina,1985,male,5-14 years,16.0,3044200,88416668900
Argentina,1985,female,5-14 years,11.0,2955200,88416668900
Argentina,1986,male,75+ years,23.0,365000,110934442763
Argentina,1986,male,55-74 years,53.0,2008300,110934442763
Argentina,1986,male,35-54 years,478.0,3365200,110934442763
Argentina,1986,male,25-34 years,29.0,2246900,110934442763
Argentina,1986,female,75+ years,48.0,540200,110934442763
Argentina,1986,female,55-74 years,21.0,2317100,110934442763
Argentina,1986,male,15-24 years,186.0,2428900,110934442763
Argentina,1986,female,35-54 years,188.0,3374300,110934442763
Argentina,1986,female,25-34 years,96.0,2197600,110934442763
Argentina,1986,female,15-24 years,11.0,2367600,110934442763
Argentina,1986,male,5-14 years,1.0,3061400,110934442763
Argentina,1986,female,5-14 years,7.0,2971900,110934442763
Argentina,1987,male,75+ years,2.0,369800,111106191358
Argentina,1987,male,55-74 years,532.0,2034500,111106191358
Argentina,1987,male,35-54 years,482.0,3409100,111106191358
Argentina,1987,female,75+ years,57.0,547000,111106191358
Argentina,1987,female,55-74 years,224.0,2347300,111106191358
Argentina,1987,male,25-34 years,192.0,2276200,111106191358
Argentina,1987,male,15-24 years,179.0,2460600,111106191358
Argentina,1987,female,35-54 years,29.0,3418300,111106191358
Argentina,1987,female,25-34 years,89.0,2226200,111106191358
Argentina,1987,female,15-24 years,93.0,2398400,111106191358
Argentina,1987,male,5-14 years,15.0,3101300,111106191358
Argentina,1987,female,5-14 years,14.0,3010700,111106191358
Argentina,1988,male,75+ years,216.0,392000,126206817196
Argentina,1988,male,55-74 years,55.0,2079000,126206817196
Argentina,1988,male,35-54 years,477.0,3503000,126206817196
Argentina,1988,female,75+ years,61.0,602000,126206817196
Argentina,1988,female,55-74 years,233.0,2412000,126206817196
Argentina,1988,male,25-34 years,215.0,2276000,126206817196
Argentina,1988,male,15-24 years,211.0,2524000,126206817196
Argentina,1988,female,35-54 years,198.0,3508000,126206817196
Argentina,1988,female,15-24 years,11.0,2459000,126206817196
Argentina,1988,female,25-34 years,61.0,2228000,126206817196
Argentina,1988,male,5-14 years,2.0,3210000,126206817196
Argentina,1988,female,5-14 years,11.0,3115000,126206817196
Argentina,1989,male,75+ years,28.0,400000,76636898036
Argentina,1989,male,55-74 years,548.0,2105000,76636898036
Argentina,1989,male,35-54 years,462.0,3561000,76636898036
Argentina,1989,female,75+ years,65.0,622000,76636898036
Argentina,1989,male,25-34 years,219.0,2287000,76636898036
Argentina,1989,female,55-74 years,21.0,2446000,76636898036
Argentina,1989,male,15-24 years,186.0,2575000,76636898036
Argentina,1989,female,35-54 years,166.0,3563000,76636898036
Argentina,1989,female,25-34 years,83.0,2240000,76636898036
Argentina,1989,female,15-24 years,8.0,2509000,76636898036
Argentina,1989,male,5-14 years,18.0,3245000,76636898036
Argentina,1989,female,5-14 years,11.0,3149000,76636898036
Argentina,1990,male,75+ years,226.0,411100,141352368715
Argentina,1990,male,55-74 years,52.0,2128000,141352368715
Argentina,1990,male,35-54 years,439.0,3619000,141352368715
Argentina,1990,female,75+ years,61.0,643000,141352368715
Argentina,1990,male,25-34 years,182.0,2297000,141352368715
Argentina,1990,female,55-74 years,19.0,2477000,141352368715
Argentina,1990,male,15-24 years,174.0,2635000,141352368715
Argentina,1990,female,35-54 years,163.0,3622000,141352368715
Argentina,1990,female,15-24 years,91.0,2568000,141352368715
Argentina,1990,female,25-34 years,76.0,2251000,141352368715
Argentina,1990,male,5-14 years,22.0,3269000,141352368715
Argentina,1990,female,5-14 years,14.0,3171000,141352368715
Argentina,1991,male,75+ years,184.0,396000,189719984268
Argentina,1991,male,55-74 years,449.0,2130000,189719984268
Argentina,1991,male,35-54 years,398.0,3580000,189719984268
Argentina,1991,male,25-34 years,214.0,2277000,189719984268
Argentina,1991,female,75+ years,5.0,658000,189719984268
Argentina,1991,female,55-74 years,169.0,2508000,189719984268
Argentina,1991,male,15-24 years,179.0,2738000,189719984268
Argentina,1991,female,35-54 years,133.0,3691000,189719984268
Argentina,1991,female,25-34 years,77.0,2310000,189719984268
Argentina,1991,female,15-24 years,61.0,2689000,189719984268
Argentina,1991,male,5-14 years,28.0,3369000,189719984268
Argentina,1991,female,5-14 years,9.0,3277000,189719984268
Argentina,1992,male,75+ years,194.0,404900,228788617202
Argentina,1992,male,55-74 years,5.0,2150500,228788617202
Argentina,1992,male,35-54 years,488.0,3616600,228788617202
Argentina,1992,male,25-34 years,227.0,2306200,228788617202
Argentina,1992,male,15-24 years,249.0,2834100,228788617202
Argentina,1992,female,75+ years,46.0,678000,228788617202
Argentina,1992,female,55-74 years,147.0,2538400,228788617202
Argentina,1992,female,35-54 years,14.0,3755500,228788617202
Argentina,1992,female,25-34 years,79.0,2329100,228788617202
Argentina,1992,female,15-24 years,79.0,2783500,228788617202
Argentina,1992,male,5-14 years,22.0,3371800,228788617202
Argentina,1992,female,5-14 years,13.0,3276800,228788617202
Argentina,1993,male,75+ years,229.0,413600,236741715015
Argentina,1993,male,55-74 years,52.0,2171500,236741715015
Argentina,1993,male,35-54 years,495.0,3672300,236741715015
Argentina,1993,male,25-34 years,233.0,2336300,236741715015
Argentina,1993,female,75+ years,58.0,698400,236741715015
Argentina,1993,male,15-24 years,235.0,2932300,236741715015
Argentina,1993,female,55-74 years,126.0,2568300,236741715015
Argentina,1993,female,35-54 years,144.0,3820400,236741715015
Argentina,1993,female,25-34 years,76.0,2347800,236741715015
Argentina,1993,female,15-24 years,73.0,2879300,236741715015
Argentina,1993,male,5-14 years,25.0,3367500,236741715015
Argentina,1993,female,5-14 years,16.0,3269800,236741715015
Argentina,1994,male,75+ years,192.0,423100,257440000000
Argentina,1994,male,55-74 years,59.0,2192500,257440000000
Argentina,1994,male,35-54 years,527.0,3729600,257440000000
Argentina,1994,male,25-34 years,226.0,2369000,257440000000
Argentina,1994,male,15-24 years,25.0,3027200,257440000000
Argentina,1994,female,55-74 years,135.0,2597400,257440000000
Argentina,1994,female,75+ years,34.0,719700,257440000000
Argentina,1994,female,35-54 years,16.0,3885600,257440000000
Argentina,1994,female,15-24 years,98.0,2971300,257440000000
Argentina,1994,female,25-34 years,72.0,2369900,257440000000
Argentina,1994,male,5-14 years,27.0,3363000,257440000000
Argentina,1994,female,5-14 years,11.0,3262900,257440000000
Argentina,1995,male,75+ years,19.0,433800,258031750000
Argentina,1995,male,55-74 years,515.0,2214000,258031750000
Argentina,1995,male,35-54 years,485.0,3787800,258031750000
Argentina,1995,male,25-34 years,218.0,2404900,258031750000
Argentina,1995,male,15-24 years,277.0,3112100,258031750000
Argentina,1995,female,75+ years,49.0,742200,258031750000
Argentina,1995,female,55-74 years,134.0,2625900,258031750000
Argentina,1995,female,35-54 years,139.0,3950100,258031750000
Argentina,1995,female,15-24 years,11.0,3053300,258031750000
Argentina,1995,female,25-34 years,62.0,2396900,258031750000
Argentina,1995,female,5-14 years,19.0,3261100,258031750000
Argentina,1995,male,5-14 years,15.0,3363300,258031750000
Argentina,1996,male,75+ years,189.0,445800,272149750000
Argentina,1996,male,55-74 years,464.0,2235900,272149750000
Argentina,1996,male,35-54 years,524.0,3847300,272149750000
Argentina,1996,male,25-34 years,226.0,2442900,272149750000
Argentina,1996,male,15-24 years,28.0,3185600,272149750000
Argentina,1996,female,75+ years,59.0,766100,272149750000
Argentina,1996,female,55-74 years,131.0,2653800,272149750000
Argentina,1996,female,35-54 years,176.0,4014100,272149750000
Argentina,1996,female,15-24 years,15.0,3123600,272149750000
Argentina,1996,female,25-34 years,52.0,2428400,272149750000
Argentina,1996,male,5-14 years,14.0,3370400,272149750000
Argentina,1996,female,5-14 years,9.0,3266800,272149750000
Argentina,1997,male,75+ years,195.0,490152,292859000000
Argentina,1997,male,55-74 years,457.0,2252148,292859000000
Argentina,1997,male,35-54 years,51.0,3934581,292859000000
Argentina,1997,male,25-34 years,213.0,2460112,292859000000
Argentina,1997,male,15-24 years,26.0,3198193,292859000000
Argentina,1997,female,75+ years,47.0,854095,292859000000
Argentina,1997,female,55-74 years,131.0,2668528,292859000000
Argentina,1997,female,35-54 years,165.0,4083427,292859000000
Argentina,1997,female,15-24 years,113.0,3161000,292859000000
Argentina,1997,female,25-34 years,72.0,2474330,292859000000
Argentina,1997,male,5-14 years,19.0,3429860,292859000000
Argentina,1997,female,5-14 years,11.0,3327355,292859000000
Argentina,1998,male,75+ years,21.0,504164,298948250000
Argentina,1998,male,55-74 years,518.0,2274972,298948250000
Argentina,1998,male,35-54 years,58.0,3990829,298948250000
Argentina,1998,male,15-24 years,327.0,3243944,298948250000
Argentina,1998,male,25-34 years,251.0,2497189,298948250000
Argentina,1998,female,75+ years,53.0,883724,298948250000
Argentina,1998,female,55-74 years,14.0,2696429,298948250000
Argentina,1998,female,15-24 years,114.0,3200362,298948250000
Argentina,1998,female,35-54 years,147.0,4143203,298948250000
Argentina,1998,female,25-34 years,52.0,2512005,298948250000
Argentina,1998,female,5-14 years,2.0,3353473,298948250000
Argentina,1998,male,5-14 years,16.0,3456965,298948250000
Argentina,1999,male,75+ years,24.0,515800,283523000000
Argentina,1999,male,55-74 years,54.0,2301840,283523000000
Argentina,1999,male,35-54 years,545.0,4045105,283523000000
Argentina,1999,male,15-24 years,355.0,3279728,283523000000
Argentina,1999,male,25-34 years,265.0,2543861,283523000000
Argentina,1999,female,55-74 years,137.0,2727054,283523000000
Argentina,1999,female,75+ years,44.0,912898,283523000000
Argentina,1999,female,35-54 years,141.0,4200203,283523000000
Argentina,1999,female,15-24 years,11.0,3229424,283523000000
Argentina,1999,female,25-34 years,5.0,2559176,283523000000
Argentina,1999,male,5-14 years,21.0,3482230,283523000000
Argentina,1999,female,5-14 years,2.0,3377543,283523000000
Argentina,2000,male,75+ years,232.0,525161,284203750000
Argentina,2000,male,55-74 years,62.0,2333377,284203750000
Argentina,2000,male,35-54 years,578.0,4096814,284203750000
Argentina,2000,male,15-24 years,463.0,3306109,284203750000
Argentina,2000,male,25-34 years,331.0,2602314,284203750000
Argentina,2000,female,55-74 years,133.0,2760512,284203750000
Argentina,2000,female,75+ years,43.0,941957,284203750000
Argentina,2000,female,35-54 years,174.0,4253771,284203750000
Argentina,2000,female,15-24 years,116.0,3249247,284203750000
Argentina,2000,female,25-34 years,63.0,2617723,284203750000
Argentina,2000,female,5-14 years,21.0,3396135,284203750000
Argentina,2000,male,5-14 years,18.0,3502413,284203750000
Argentina,2001,male,75+ years,25.0,547473,268696750000
Argentina,2001,male,55-74 years,659.0,2358654,268696750000
Argentina,2001,male,15-24 years,518.0,3325440,268696750000
Argentina,2001,male,35-54 years,625.0,4145861,268696750000
Argentina,2001,male,25-34 years,375.0,2675285,268696750000
Argentina,2001,female,75+ years,57.0,978346,268696750000
Argentina,2001,female,15-24 years,166.0,3262682,268696750000
Argentina,2001,female,55-74 years,137.0,2788628,268696750000
Argentina,2001,female,35-54 years,21.0,4306817,268696750000
Argentina,2001,female,25-34 years,82.0,2690206,268696750000
Argentina,2001,male,5-14 years,29.0,3519935,268696750000
Argentina,2001,female,5-14 years,24.0,3411619,268696750000
Argentina,2002,male,75+ years,234.0,566447,97724004252
Argentina,2002,male,55-74 years,615.0,2387478,97724004252
Argentina,2002,male,15-24 years,542.0,3331708,97724004252
Argentina,2002,male,25-34 years,412.0,2758283,97724004252
Argentina,2002,male,35-54 years,619.0,4191889,97724004252
Argentina,2002,female,55-74 years,179.0,2819507,97724004252
Argentina,2002,female,75+ years,58.0,1012399,97724004252
Argentina,2002,female,15-24 years,158.0,3263542,97724004252
Argentina,2002,female,35-54 years,194.0,4355651,97724004252
Argentina,2002,female,25-34 years,91.0,2772560,97724004252
Argentina,2002,male,5-14 years,37.0,3529201,97724004252
Argentina,2002,female,5-14 years,23.0,3418842,97724004252
Argentina,2003,male,75+ years,272.0,581842,127586973492
Argentina,2003,male,55-74 years,577.0,2420864,127586973492
Argentina,2003,male,15-24 years,638.0,3331226,127586973492
Argentina,2003,male,25-34 years,456.0,2845955,127586973492
Argentina,2003,male,35-54 years,625.0,4237124,127586973492
Argentina,2003,female,75+ years,68.0,1044188,127586973492
Argentina,2003,female,15-24 years,179.0,3258029,127586973492
Argentina,2003,female,55-74 years,147.0,2854473,127586973492
Argentina,2003,female,35-54 years,196.0,4402438,127586973492
Argentina,2003,female,25-34 years,69.0,2859003,127586973492
Argentina,2003,male,5-14 years,37.0,3531507,127586973492
Argentina,2003,female,5-14 years,25.0,3419258,127586973492
Argentina,2004,male,75+ years,227.0,593409,164657930453
Argentina,2004,male,55-74 years,5.0,2459960,164657930453
Argentina,2004,male,15-24 years,653.0,3333328,164657930453
Argentina,2004,male,25-34 years,445.0,2930079,164657930453
Argentina,2004,male,35-54 years,599.0,4284709,164657930453
Argentina,2004,female,15-24 years,159.0,3255244,164657930453
Argentina,2004,female,55-74 years,136.0,2895423,164657930453
Argentina,2004,female,75+ years,5.0,1073648,164657930453
Argentina,2004,female,35-54 years,185.0,4450210,164657930453
Argentina,2004,female,25-34 years,99.0,2940630,164657930453
Argentina,2004,male,5-14 years,43.0,3530061,164657930453
Argentina,2004,female,5-14 years,25.0,3416244,164657930453
Argentina,2005,male,75+ years,225.0,601176,198737095012
Argentina,2005,male,55-74 years,489.0,2505136,198737095012
Argentina,2005,male,15-24 years,638.0,3343414,198737095012
Argentina,2005,male,25-34 years,451.0,3004991,198737095012
Argentina,2005,male,35-54 years,539.0,4336453,198737095012
Argentina,2005,female,55-74 years,161.0,2943135,198737095012
Argentina,2005,female,75+ years,59.0,1101024,198737095012
Argentina,2005,female,15-24 years,148.0,3260468,198737095012
Argentina,2005,female,35-54 years,171.0,4500787,198737095012
Argentina,2005,female,25-34 years,14.0,3011376,198737095012
Argentina,2005,male,5-14 years,52.0,3528848,198737095012
Argentina,2005,female,5-14 years,21.0,3413809,198737095012
Argentina,2006,male,75+ years,246.0,620010,232557260817
Argentina,2006,male,15-24 years,656.0,3357424,232557260817
Argentina,2006,male,55-74 years,487.0,2540712,232557260817
Argentina,2006,male,25-34 years,483.0,3068991,232557260817
Argentina,2006,male,35-54 years,585.0,4383730,232557260817
Argentina,2006,female,15-24 years,175.0,3271703,232557260817
Argentina,2006,female,55-74 years,115.0,2983954,232557260817
Argentina,2006,female,35-54 years,16.0,4549471,232557260817
Argentina,2006,female,25-34 years,15.0,3070419,232557260817
Argentina,2006,female,75+ years,31.0,1132977,232557260817
Argentina,2006,male,5-14 years,39.0,3527369,232557260817
Argentina,2006,female,5-14 years,26.0,3412126,232557260817
Argentina,2007,male,75+ years,225.0,634995,287530508431
Argentina,2007,male,15-24 years,577.0,3381171,287530508431
Argentina,2007,male,55-74 years,438.0,2582754,287530508431
Argentina,2007,male,25-34 years,49.0,3125322,287530508431
Argentina,2007,male,35-54 years,571.0,4436541,287530508431
Argentina,2007,female,15-24 years,146.0,3292790,287530508431
Argentina,2007,female,25-34 years,126.0,3120162,287530508431
Argentina,2007,female,55-74 years,18.0,3033008,287530508431
Argentina,2007,female,35-54 years,155.0,4601874,287530508431
Argentina,2007,female,75+ years,31.0,1161794,287530508431
Argentina,2007,male,5-14 years,45.0,3530454,287530508431
Argentina,2007,female,5-14 years,34.0,3414627,287530508431
Argentina,2008,male,75+ years,28.0,646185,361558037110
Argentina,2008,male,15-24 years,625.0,3410092,361558037110
Argentina,2008,male,55-74 years,463.0,2630686,361558037110
Argentina,2008,male,25-34 years,531.0,3172743,361558037110
Argentina,2008,male,35-54 years,582.0,4496672,361558037110
Argentina,2008,female,15-24 years,18.0,3319037,361558037110
